matchNumber,alliance,teamNumber
95,redAlliance,1403
95,redAlliance,1257
95,blueAlliance,9027
95,blueAlliance,555
95,blueAlliance,272
96,redAlliance,3637
96,redAlliance,223
96,redAlliance,1807
96,blueAlliance,834
96,blueAlliance,321
96,blueAlliance,75
97,redAlliance,4573
97,redAlliance,1640
97,redAlliance,5438
97,blueAlliance,56
97,blueAlliance,9015
97,blueAlliance,341
98,redAlliance,8513
98,redAlliance,365
98,redAlliance,6921
98,blueAlliance,427
98,blueAlliance,1089
98,blueAlliance,484
99,redAlliance,4342
99,redAlliance,2607
99,redAlliance,1923
99,blueAlliance,1168
99,blueAlliance,6226
99,blueAlliance,2722
100,redAlliance,5895
100,redAlliance,219
100,redAlliance,1676
100,blueAlliance,1218
100,blueAlliance,2590
100,blueAlliance,5992
101,redAlliance,4285
101,redAlliance,4342
101,redAlliance,75
101,blueAlliance,5992
101,blueAlliance,714
101,blueAlliance,56
102,redAlliance,316
102,redAlliance,103
102,redAlliance,714
102,blueAlliance,293
102,blueAlliance,102
102,blueAlliance,2539
103,redAlliance,7045
103,redAlliance,5684
103,redAlliance,9027
103,blueAlliance,272
103,blueAlliance,1403
103,blueAlliance,7110
104,redAlliance,223
104,redAlliance,5401
104,redAlliance,555
104,blueAlliance,222
104,blueAlliance,2191
104,blueAlliance,7414
105,redAlliance,2495
105,redAlliance,1279
105,redAlliance,834
105,blueAlliance,75
105,blueAlliance,9015
105,blueAlliance,4361
106,redAlliance,5181
106,redAlliance,6921
106,redAlliance,2720
106,blueAlliance,1391
106,blueAlliance,365
106,blueAlliance,1640
107,redAlliance,4573
107,redAlliance,1168
107,redAlliance,321
107,blueAlliance,4285
107,blueAlliance,427
107,blueAlliance,1811
108,redAlliance,1807
108,redAlliance,341
108,redAlliance,1676
108,blueAlliance,4342
108,blueAlliance,2722
108,blueAlliance,3637
109,redAlliance,102
109,redAlliance,5895
109,redAlliance,1923
109,blueAlliance,5438
109,blueAlliance,2539
109,blueAlliance,3314
110,redAlliance,293
110,redAlliance,1089
110,redAlliance,6226
110,blueAlliance,56
110,blueAlliance,1257
110,blueAlliance,219
